                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    124,                 1.2307,                0.53034,                 0.8596,                0.96955,                0.93277,                0.96344,                0.53507,                 1.4438,                0.59726,                0.90699,              0.0092389,              0.0092389,              0.0092389
                    125,                 1.2637,                0.53903,                0.85634,                0.97393,                0.93895,                0.96719,                0.55386,                 1.4493,                0.60517,                0.90585,              0.0092327,              0.0092327,              0.0092327
                    126,                 1.2019,                0.51656,                0.84501,                0.97054,                0.94359,                0.96785,                0.55466,                  1.443,                0.60056,                0.90398,              0.0092266,              0.0092266,              0.0092266
                    127,                 1.2173,                0.53172,                0.85514,                0.96881,                0.93627,                0.96815,                0.56824,                 1.4089,                0.60628,                0.90018,              0.0092204,              0.0092204,              0.0092204
                    128,                 1.1967,                0.53635,                0.85458,                0.96619,                0.94954,                0.96519,                0.55657,                  1.448,                0.60198,                 0.9073,              0.0092142,              0.0092142,              0.0092142
                    129,                 1.2108,                0.52538,                0.85888,                0.97335,                0.92581,                0.96434,                0.55776,                 1.4337,                0.60266,                0.90609,               0.009208,               0.009208,               0.009208
                    130,                 1.2255,                0.52824,                0.84367,                0.97427,                0.92968,                0.96344,                0.53699,                  1.475,                0.62638,                0.90661,              0.0092018,              0.0092018,              0.0092018
                    131,                 1.1531,                0.51344,                0.85491,                0.97481,                0.92711,                0.96571,                0.55729,                 1.4312,                0.60824,                0.90177,              0.0091956,              0.0091956,              0.0091956
                    132,                  1.219,                0.53909,                0.85627,                0.95637,                0.93663,                 0.9562,                0.54947,                 1.4347,                0.60381,                0.90629,              0.0091894,              0.0091894,              0.0091894
                    133,                 1.2081,                 0.5245,                0.85217,                0.96512,                0.93354,                0.96753,                0.56153,                 1.5025,                0.63701,                0.91254,              0.0091833,              0.0091833,              0.0091833
